Autor,Fecha,Hora,nrolikes,nrodislikes,nroComentarios,texto
Anónimo,"May 2, 2023",9:08 a.m.,17,11,46,Buenos Dias por favor a los nuevos aspirantes del sigro 2023 por favor unirse al grupo de admisiones https://chat.whatsapp.com/LNfEUvyTRrm9QJX10Ywmeu?fbclid=IwAR3IpDikDwX1hvsOgoBiAKZ0DtCMYidOjbP_e94v-bnD9NVVVfUSWxncXNQ
Anónimo,"May 1, 2023",1:40 p.m.,34,9,78,"Hola, quisiera hacer una confesion. La verdad es que me siento solo y me gustaria que alguien me escuche, aunque sea en un chat anonimo.Fui diagnosticado con TLP, depresion y dependencia emocional hace un mes mas o menos, y me mandaron medicacion a raiz de un problema serio con mi expareja. Ella me quiso denunciar por acoso y violencia de genero en el cual intervino tanto la familia de ella como la mia y varios abogados. Al final se llego a un acuerdo en el cual yo no podia acercarme y ella tampoco a mi. En ese momento quise terminar con todo, me llevaron a un hospital en donde estuve internado.El asunto es el siguiente; admito que yo la buscaba, pero ella tambien me escribia. En algunos casos parecia que habia una apertura para dialogar, pero en otros me insultaba y me echaba la culpa de todo lo malo. Me expresaba que su mama le hacia pleitos por mi, y en su trabajo la veian mal y que yo la enfermaba. En la ultima ocasion fue a principios de marzo en una conversacion de telefono me dijo que solo le he traido problemas a su vida, que ella no es mi mama para comprenderme, que puede hacerme expulsar de la Espol, que yo andaba con otras mujeres y que me muriera.Eso me devasto porque antes no era asi, aunque ella me ocultaba de los padres y la familia porque decia que eran problematicos. Yo me acuerdo las veces ibamos cogidos de la mano por el parque o la universidad. Como ella me habia regalado un corazon donde decia: ""Te quiero mucho"" escrito por su mano. Y sobre todo la primera vez que la conoci en mi fiesta de cumpleaños, la verdad es que era la primera ocacion en que me celabraban mi cumple con amigos y no solo. Y por ultimo el regalo de un par de anillos y donde fuimos a una convencion de anime que hacian propuestas de matrimonio con musica y escenario.Aveces no puede evitar sentir remordimiento, yo iba detras de ella porque tenia fe en que todo saldria bien a pesar de las circunstancias. Era fe y solo fe lo que tenia en el fondo. Y se que tambien he cometido mis errores, he llegado a tener celos porque tenia miedo de que me traicionaran bien feo como me paso anteriormente. Pero yo enserio quise arreglar las cosas porque yo la amaba y lo menos que quiero es hacerle algun mal, sino todo lo contrario.Gracias por escucharme."
Anónimo,"April 29, 2023",7:05 p.m.,17,10,13,"Se que esto les parecera algo tonto para la mayoria de personas, pero ... tan solo quiero tener un noviazgo ahora que ya estoy en esta etapa Universitaria, nunca antes tuve una relacion amorosa en toda mi vida, ya que siempre he sido timido, ademas tengo miedo al engaño, hoy en dia es dificil confiar en una persona de corazón,  tengo una amiga que tiene una bonita relacion con su novio y a veces los veo y me da envidia porque yo tambien quisiera encontrar una persona que me quiera tal y como soy 🥲, y en verdad solo me gustaria saber que se siente tener novia y vivir todas esas experiencias de ir a un parque, al cine, viajar, y sobre todo sentir un verdadero abrazo y un beso 🤧😢"
Anónimo,"April 29, 2023",12:46 p.m.,11,8,91,"ME pueden ayudar con una excusa para que me acepten la tercera matrícula, por favor necesito ayuda."
Anónimo,"April 28, 2023",10:56 a.m.,4,0,55,"Bueno para los que siguen Ing. naval,si tienen la oportunidad de cambiarse de carrera, no lo piensen y háganlo! Aparte de las razones que ya conocen por lo que han vivido en las aulas de la facultad(materias se abren una vez al año, no hay vocación en la docencia, etc) , no hay amplia gama de oportunidades laborales.  "
Anónimo,"April 26, 2023",1:22 p.m.,0,0,40,"Confieso que necesito un ayudante para econométria, buena paga! "
Anónimo,"April 26, 2023",12:25 p.m.,4,4,97,"Confieso que en el 2022 conocí a un man que se comía media Espol, el cual me encaprichó su forma de ser y tuvo que terminar la aventurilla ya que yo estaba empezando a sentir cosas por él. Y me usó despues de haberme mentido muchas cosas de su vida. Pero eso no es todo, quedé con ese vacío, con ese hueco por rellenar, con ese anhelo, que hasta que encontré un  ex amigo de él que lo conocía y que en el pasado se pelearon y nunca mas hablaron por como él era, resultamos tener demasiado en común o al menos lo sentí así, veniamos del mismo colegio, conociamos un culo de gente, nos gustaba mucho la musica, temas y etc pero nunca dejó de tener pareja pese que yo veía como a veces pasaba mucho tiempo conmigo que con su pareja y que tenian problemas, pues ya yendo a la psicóloga entendí el apego ansioso que traumas me han dejado, han sido 2 meses de terapia pese a que en realidad jamas ha hecho algo malo a mi o ilusionado simplemente porque convivió demasiado diría yo y me deje llevar de su compañía que hasta de pronto de la nada desapareció lo del chico anterior pero ya me había metido a otro hueco, bueno luego me le confesé borrach y pos... a pesar de si ser un rechazo, me dijo que me queria y de haberlo sabido que estaba así de vulnerable hubiese abstenido de pasar mucho conmigo. La verdad no es santito del todo, peeo como amigo la verdad es el mejorrrrr. Hoy ya llevo 2 meses de contacto 0, no sé NADA de él puesto que lo bloquié...y le mandé perro testamento. Quisiera acercarme a que al menos tenerlo agg  pero a la vez siento que no es tiempo y me gustaria que él lo hiciera... :') hasta entonces me vaciaré del amor que había generado hacia él....♡"
Anónimo,"April 26, 2023",4:44 a.m.,3,0,33,"Pues desde que salí de la universidad no he tenido mucha suerte que se diga. Conseguí un empleo de casi 13 horas en una empresa lejos de mi casa. Me pagaban un poco más que mis otros compañeros que trabajaban el mismo tiempo en otra empresa, pero la verdad no tenía más opciones en dónde laborar. Ese trabajo consumió mucho de mi en el año que pasó, mi jefa llegó a insultarme un día que salí de emergencia al hospital debido a un problema que mis compañeros no pudieron resolver. También trate de ingresar a una maestría, pero no sé si mi jefa se haya enterado o no, que empezó a dejarme el horario de la mañana con lo cual me dificultó mucho poder ir a una entrevista y me negaron la maestría a pesar de que ya había invertido en ella. Decidí renunciar hace unos días, se acercan de nuevo las postulaciones para maestría y cursos de certificación, quería comenzar a estudiar con lo que había ahorrado. En el fondo me siento mal, nadie lo sabe, pero la única razón por la que no me renunciaba aún es porque conocí a alguien allá. Esa persona me ayudó bastante, y en su momento salimos, mas un día de la nada comenzó a exigirme cosas y chantajearme y le dije que parará, nuestra relación se fue al caño. El día que renuncie me despide amargamente de esa persona.En el fondo quería a esa persona y admito que me alegraba muchas veces cuando estaba mal tras algún problema. Ya esa persona me dijo que se iba a buscar a alguien más, y nada quedaron las cosas allí....Desde que paso todo eso no he podido dormir bien, casi no como y por más que trato no puedo salir del encierro. A veces me gustaría ser más como mi yo de la universidad, que era más feliz."
Anónimo,"April 26, 2023",12:28 a.m.,2,1,70,"Me llama la atención la chica morena de mecánica, que está en el club de oratoria, por lo cual da discursos legendarios con su linda voz. La he visto con un compañero altote de la carrera de Tony Stark, parecen que son novios. De cualquier forma espero tenga un lindo amor aunque no sea conmigo "
Anónimo,"April 24, 2023",5:18 p.m.,6,0,79,Confieso que estoy orgulloso de ser el cuñado del Admin confesiones🙏
